"Bereich","Aufgabe","Verantwortlich","Status","Relevanz"
"Über uns","Drohnen-/Betriebsvideo: Anflug, Vogelperspektive, langsamer Durchflug durch alle Bereiche im aktiven Betrieb – kein Mitarbeiterporträt","Oalab / André","offen","3. Schleife"
"Über uns","Statisches Hero-Foto durch Video ersetzen, das beim Scrollen im Hintergrund weiterläuft","Oalab","offen","3. Schleife"
"Karriere","Mitarbeiterstimmen anonymisiert – nur Berufsbezeichnung + kurzer Kommentar, keine Namen","Oalab","offen","3. Schleife"
"Karriere","Nicht nur Benefits zeigen, sondern den Betrieb (Drohnen-/Rundgangvideo zentral)","Oalab","offen","3. Schleife"
"Formular","Formularbau zum Schluss, nachdem alle Inhalte stehen","Oalab","terminiert","3. Schleife"
"Geschäftskunden","Partner nach Freigabe direkt verlinken („geschenkte Leads"")","Oalab","wartet auf Nr. 78","3. Schleife"
"Serviceseiten","Leasingrückgabe: Text bleibt; Seite wird von Fuhrpark/Autohaus und Privat angesteuert","–","erledigt","3. Schleife"
"Serviceseiten","Caravan-Segment nicht bewerben (nur vereinzelt für Bestandskunden)","–","erledigt","3. Schleife"
"Serviceseiten","Autoglas: Angaben PKW/LKW-Neuverglasung inhaltlich prüfen","Oalab / André","offen","3. Schleife"
"Serviceseiten","Hagelschadenreparatur: BVAT-Logo einbinden + kurzer Hinweis zur Mitgliedschaft","Oalab","offen","3. Schleife"
"Serviceseiten","Dellenentfernung: sauberes Bild hinterlegen","Oalab","offen","3. Schleife"
"Serviceseiten","Smart-Repair-Foto ersetzen – zeigt Kratzerentfernung/Aufbereitung, nicht Smart Repair","Oalab","offen","3. Schleife"
"Unfallinstandsetzung","Prüfen, ob der obere Block auf jeder Serviceseite wiederholt werden muss oder einmal auf der Subseite reicht","Oalab","Recherche","3. Schleife"
"Unfallinstandsetzung","Sektion „Schadenaufnahme"": Hintergrundbild ändern, ruhigeres Motiv im Stil der Aufbereitungsseite","Oalab","offen","3. Schleife"
"Unfallinstandsetzung","Text „Alle Marken"" ändern in: „Als markenunabhängiger Meisterbetrieb bearbeiten wir alle Fabrikate unter Verwendung von ausschließlich Originalersatzteilen.""","Oalab","offen","3. Schleife"
"Aufbereitung","Parallax-Bereich: keine „dreckig/sauber""-Vergleiche, sondern Endbilder bzw. Bilder kurz vor Fertigstellung / während der Arbeit","Oalab","offen","3. Schleife"
"Mainpage","Optionalen „Jetzt bewerben""-Banner schaltbar machen","Oalab","offen","3. Schleife"
"Mainpage","Bild 5 (Ersatzwagen nach Verfügbarkeit) durch Foto eines eigenen Mietwagens ersetzen (nice to have)","Oalab / André","offen","3. Schleife"
"Global","Wissensdatenbank wird nach Deploy sukzessive gefüllt, kein Livegang-Blocker","Oalab","vereinbart","3. Schleife"
"Global","Grundsatz: jeder technische Begriff wird perspektivisch mit Wissensbeitrag unterfüttert; nicht unterfütterbare Inhalte auf Nutzen prüfen","Oalab","Prinzip","3. Schleife"
"Global","Scroll-/Sticky-Effekt (5 Kacheln): Verhalten ist gewollt, aber Ablauf flüssiger machen – auch auf Tablet und Handy testen","Oalab","offen","3. Schleife"
"Bringschuld André","Liste lokaler Jobbörsen / Arbeitsamt / Recruiting-Portale notieren – für spätere Weiterleitung auf die offizielle Karriereseite","André","offen","2. Schleife"
"Bringschuld André","Liste aller Sonder-/Zusatzleistungen Aufbereitung (Keramikversiegelung, Nanoversiegelung, leichte Kratzerentfernung, Steinschläge auslegen, Türkanten verfüllen) per Mail","André","offen","2. Schleife"
"Formular","Geschäftskunden-Formular reduzieren auf: Autohaus, Fuhrpark, Versicherung, Rahmenvertrag, Sonstiges – „laufende Zusammenarbeit"" streichen","Oalab","offen","2. Schleife"
"Formular","Geschäftskunden-Anfragen an André's persönliche Mailadresse, nicht an Info-Adresse","Oalab","offen","2. Schleife"
"Formular","Unfallinstandsetzung → Weiterleitung zu PDR Cloud / reparatur.info-Link (kein eigenes Formular)","Oalab","offen","2. Schleife"
"Formular","Terminanfrage-Button analog kfz-lindner.de: Klick → Pop-up mit Auswahl aus zwei Servicebereichen","Oalab","offen","2. Schleife"
"Geschäftskunden","Mietwagenbild / weiße Mietwagenflotte einarbeiten","Oalab","offen","2. Schleife"
"Geschäftskunden","Foto Fuhrpark-/Autohausservice (Hänger) einbauen","Oalab","offen","2. Schleife"
"Serviceseiten","„Mehr erfahren""-Verlinkungen: Dellen → Dellenentfernung; Komplettlackierung → Neu- & Reparaturlackierung; Spot Repair → Wissensbeitrag (neu anlegen); Unsichtbare Reparatur → Wissensbeitrag Farbtongenauigkeit","Oalab","offen","2. Schleife"
"Unfallinstandsetzung","Sektion „Schadenaufnahme"": Transparenz reduzieren (bei viel Text unübersichtlich)","Oalab","offen","2. Schleife"
"Unfallinstandsetzung","Karte „Karosseriearbeiten"" → „Karosserie- und Lackierarbeiten""","Oalab","offen","2. Schleife"
"Unfallinstandsetzung","Hero-Bild ersetzen – wirkt wie Schadensaufnahme, nicht wie Instandsetzung","Oalab / André","offen","2. Schleife"
"Aufbereitung","Innenaufbereitung: KI-Bild ersetzen – kein Transporter, eher exklusives Fahrzeug","Oalab","offen","2. Schleife"
"Aufbereitung","Leasingrückgabe braucht ein eigenes Bild","Oalab","offen","2. Schleife"
"Aufbereitung","Premium vs. Exklusiv fotografisch schwer trennbar → vorerst ohne Foto, ggf. über Textbausteine lösen","Oalab","offen","2. Schleife"
"Aufbereitung","Prüfen, ob die erklärende Darstellung (Innen-/Außen-/Lackaufbereitung) auch für die Pakete oben übernommen wird","Oalab","offen","2. Schleife"
"Aufbereitung","Zusatzleistungen als optionale, wählbare Zusatzleistungen auf der Subseite aufführen (Fußnote/Hinweis)","Oalab","offen","2. Schleife"
"Aufbereitung","Textlich klarstellen: Brillant-Außenpflege ist Basis/Voraussetzung für Keramikversiegelung – Versiegelung selbst nicht enthalten, kommt hinzu","Oalab","offen","2. Schleife"
"Aufbereitung","Klarstellen: Paket „Exklusiv"" betrifft auch den Innenraum, nicht nur außen","Oalab","offen","2. Schleife"
"Mainpage","Angepassten Slogan überall konsistent platzieren","Oalab","offen","2. Schleife"
"Mainpage","Globalen Slogan anpassen: „Premium"" bleibt, Fahrzeugpflege geringer gewichten, Unfallinstandsetzung / Karosserie- und Lackierarbeiten aufnehmen, ggf. „alles aus einer Hand""","Oalab","offen","2. Schleife"
"Mainpage","Kontaktformular aus der letzten Sektion komplett entfernen, wandert in den Kontaktbereich","Oalab","offen","2. Schleife"
"Mainpage","Kacheln verlinken künftig auf die jeweilige Detail-Subseite, nicht auf die Paketübersicht","Oalab","offen","2. Schleife"
"Mainpage","Hero-Text kürzen, weniger Platz einnehmen lassen","Oalab","offen","2. Schleife"
"Global","Alle Zeitstrahl- und Prozessdarstellungen einheitlich im Stil „Ablauf in fünf Schritten zum Ziel"" (kfz-lindner.de) animieren","Oalab","offen","2. Schleife"
"Global","Blaue Platzhalter-Füllung ersetzen","Oalab","offen","2. Schleife"
"Global","Karten-Styling: transparent statt weiß, Transparenz so justieren dass Lesbarkeit erhalten bleibt – einheitlich über gesamte Seite","Oalab","offen","2. Schleife"
"Bringschuld André","Benefits + Mitarbeiterstimmen für die Karriereseite zusammentragen (Mitarbeiter fragen)","André","offen","1. Schleife"
"Über uns","Über-uns-Seite ist nirgends verlinkt → in Navigation aufnehmen","Oalab","offen","1. Schleife"
"Karriere","Serviceberater aus den offenen Positionen entfernen","Oalab","offen","1. Schleife"
"Karriere","„Jetzt bewerben""-Banner oben auf der Karriereseite","Oalab","offen","1. Schleife"
"Karriere","Bewerbungsformular: Name, E-Mail, Telefon, Nachricht; Lebenslauf optional, Absenden auch ohne Anhang","Oalab","offen","1. Schleife"
"Karriere","Karriereseite mit Karten im Website-Stil je Position: Fahrzeug-/Karosseriebauer, Lackierer, Aufbereiter, Mechaniker – keine Drehanimationen","Oalab","offen","1. Schleife"
"Formular","Kontaktanfrage als Pop-up, keine Weiterleitung","Oalab","offen","1. Schleife"
"Formular","Gewählte Leistung beim Aufruf automatisch vorauswählen","Oalab","offen","1. Schleife"
"Formular","Aufbereitungsformular: neben Pflegepaketen auch „gewünschte Zusatzleistungen"" auswählbar machen","Oalab","offen","1. Schleife"
"Formular","Aufbereitung → eigenes Formular, Anfrage direkt ins E-Mail-Postfach, auch mit PopUp","Oalab","offen","1. Schleife"
"Geschäftskunden","Ergänzen: volldigitale Abwicklung über eigenes Programm „Data Motive"" namentlich erwähnen","Oalab","offen","1. Schleife"
"Serviceseiten","Jede Leistung kurz und eigenständig erklären (Ziel: direkte Landung bei „Smart Repair Leipzig"")","Oalab","offen","1. Schleife"
"Serviceseiten","Layout durchgehend vereinheitlichen (Hintergrundfoto oben, weich übergehend in Weiß): Neu- & Reparaturlackierung, Smart Repair, Dellenentfernung, Hagelschadenreparatur, Felgenreparatur, Autoglas & Scheibenfolierung, Leasingrückgabe, Fuhrparkservice","Oalab","offen","1. Schleife"
"Aufbereitung","Bild-Rochade: Lackaufbereitungsbild → Außenaufbereitung; bisheriges Außenaufbereitungsbild → Leasingrückgabe","Oalab","offen","1. Schleife"
"Aufbereitung","Scheinwerferaufbereitung herausnehmen (rechtlich dünnes Eis)","Oalab","offen","1. Schleife"
"Aufbereitung","Ozon/Heißvernebelung zusätzlich als optional buchbar bei Innenaufbereitung (v. a. Intensiv-Innenreinigung) hinterlegen","Oalab","offen","1. Schleife"
"Aufbereitung","Ozonbehandlung / Heißvernebelung weiter nach oben – direkt unter die Aufbereitungspakete mit Preisen","Oalab","offen","1. Schleife"
"Aufbereitung","Neue Subseite „Innenaufbereitung"" – inkl. Exklusivleistungen (z. B. Alcantara-Lenkrad ausbauen und aufarbeiten, Schaum-/Tornador-Verfahren)","Oalab","offen","1. Schleife"
"Aufbereitung","Neue Subseite „Außenaufbereitung"" – inkl. Lackaufbereitung ausführlich + Exklusivleistungen (Keramik, Nano, Lackbausteine)","Oalab","offen","1. Schleife"
"Mainpage","Punkt „Lackaufbereitung"" als eigene Kachel entfernen – verbleiben: Innenaufbereitung, Außenaufbereitung, Leasingrückgabe","Oalab","offen","1. Schleife"
"Mainpage","Kacheltext Aufbereitung: Botschaft erweitern auf Werterhalt und Wohlfühlen im Alltag, nicht nur Verkauf/Leasingrückgabe","Oalab","offen","1. Schleife"
"Global","FAQ-Block pro Subseite bleibt (KI-SEO) – von André geprüft und freigegeben","–","erledigt","1. Schleife"
"Global","Alle Texte von 3. Person auf „Wir"" umschreiben","Oalab","offen","1. Schleife"
"Global","„CarCare"" allein nicht mehr verwenden → durchgehend „CarCare Center"" (ohne Bindestrich) oder „wir""","Oalab","offen","1. Schleife"
"Global","Flächenangabe überall auf „über 3.000 m²"" vereinheitlichen","Oalab","offen","1. Schleife"
"Global","Jahreszahl überall korrigieren: „seit 1993"" → „seit 1998"" (inkl. Fußzeile)","Oalab","offen","1. Schleife"
"Offene Frage","Programmname: „Beta Motive"" vs. „Data Motive"" – korrekte Schreibweise bestätigen","André","Klärung","Nicht relevant"
"Bringschuld André","Fotogrundregel: Handyfotos, unbearbeitet, während der Bearbeitung oder kurz vor Ende – keine reinen Ergebnisbilder","André","Prinzip","Nicht relevant"
"Sonstiges","Idee zur Prüfung: Aufbereiter mit Kamerabrille, komplette Aufbereitung filmen, 1-Minuten-Video für Social Media","André","Idee","Nicht relevant"
"Sonstiges","Instagram-Beispiele frei durch Deutschland fahrender Autoaufbereiter an André schicken","Oalab","offen","Nicht relevant"
"Sonstiges","KI-Bild mit „Hammer""-Artefakt bleibt – Nacharbeit lohnt den Aufwand nicht","–","erledigt","Nicht relevant"
"Über uns","Videografen kontaktieren (Kontakt über Hariege, Leipzig/Dubai) – diese Woche","Oalab","offen","Nicht relevant"
"Geschäftskunden","Aufbau als Zusammenfassung des Relevantesten bleibt so","–","erledigt","Nicht relevant"
"Serviceseiten","Autoglas: Schutzfolien für Lack bleiben drin (Ausführung über Subunternehmer)","–","erledigt","Nicht relevant"
"Serviceseiten","Subseiten bleiben rein informativ – Anfrage nur über zentralen Terminanfrage-Button","–","erledigt","Nicht relevant"
"Unfallinstandsetzung","Zusatzbausteine/Schlagworte bleiben (reine KI-SEO)","–","erledigt","Nicht relevant"
"Aufbereitung","Expertise-/Über-uns-Block am Seitenende bleibt (SEO-Ranking der Subseite)","–","erledigt","Nicht relevant"
"Aufbereitung","Texte Leasingrückgabe bleiben unverändert (gefallen sehr gut)","–","erledigt","Nicht relevant"
"Aufbereitung","Ablauf-Sektion bleibt (KI-SEO); Schritte Leistung wählen → Termin anfragen → Fahrzeug abgeben → Aufbereitung → gepflegtes Fahrzeug passen","–","erledigt","Nicht relevant"
